tid,nombre,ubicacion,fono,correo,rubro
127,Homecenter,"8 Logan St
Carnegie
Carnegie, PA 15106",93430390,"Construcción",mhassel@mac.com
134,Apple,"215 E Main St
Carnegie
Carnegie, PA 15106",96273192,"Tecnología",scotfl@gmail.com
133,Walmart,"520 North Bell Avenue
Carnegie
Carnegie, PA 15106",95380301,Supermercado,bjornk@hotmail.com
135,Jumbo,"231 E Main St
Carnegie
Carnegie, PA 15106",82826916,Supermercado,sekiya@yahoo.ca
138,Assoto,"2323 Greentree Rd
Carnegie, PA 15106",88600221,"Health & Medical",alfred@hotmail.com
122,"American Thrift Center","1806 Homeville Rd
West Mifflin, PA 15122",98427721,Shopping,pajas@comcast.net
130,"Porto Fino","1201 Washington Ave
Carnegie, PA 15106",85252808,"Construcción",esbeck@msn.com
119,"Old Navy","560 E Waterfront Dr
Homestead
Homestead, PA 15120",91206203,Shopping,jonadab@sbcglobal.net
137,"North Face","Raceway Plz
Carnegie, PA 15106",85769830,Deportes,chaki@msn.com
123,"Cindy Esser's Floral Shop","1122 E Carson St
South Side
Pittsburgh, PA 15203",96108901,"Flores y regalos",denism@icloud.com
132,Nike,"202 3rd Ave
Carnegie
Carnegie, PA 15106",81941645,Shopping,iapetus@sbcglobal.net
126,Falabella,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",91889265,Shopping,tjensen@yahoo.com
124,"Red White & Blue Thrift Store","935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",82174114,Shopping,symbolic@yahoo.ca
120,"Dick's Sporting Goods","The Waterfront
350 East Waterfront Drive
Homestead
Homestead, PA 15120",85585647,Deportes,ryanvm@aol.com
136,Loft,"117 E Mall Plz
Carnegie
Carnegie, PA 15106",85321577,"Deportes extremos",catalog@gmail.com
128,"Casa Ideas","2100 Washington Pike
Carnegie, PA 15106",81879688,Interiores,giafly@sbcglobal.net
125,"Paul's Clock Repair","1234 Straka St
Crafton Heights
Pittsburgh, PA 15204",98233816,Shopping,dkrishna@msn.com
139,"Rapa Nui","214 E Main St
Carnegie
Carnegie, PA 15106",84388818,"Deportes extremos",mddallara@yahoo.com
131,"Paddy's House","1073 Washington Ave
Carnegie, PA 15106",83941337,"Construcción",frostman@yahoo.com
121,"Big Bang Bicycles","347 Lebanon Rd
West Mifflin, PA 15122",88393366,Deportes,mjewell@optonline.net
129,Adidas,"2100 Washington Pike
Carnegie, PA 15106",84935045,Shopping,martyloo@hotmail.com
140,"Hoyts Cinema","185 W. Waterfront Drive
Homestead
Pittsburgh/Waterfront, PA 15120",93422751,"Entretención",sisyphus@me.com
141,"Tom Bradley Airport","4840 E Indian School Rd
Ste 101
Phoenix, AZ 85018",90573044,Transporte,burns@msn.com
142,Metro,"202 McClure St
Dravosburg, PA 15034",87152577,Transporte,brainless@live.com
143,"Shop 'n Save","1886 Homeville Rd
West Mifflin, PA 15122",98077273,Comida,parents@yahoo.ca
144,"McDonald's","Kennywood & Hoffman
West Mifflin, PA 15122",91016259,Comida,webteam@live.com
145,"Latina Pizza","4426 Kennywood Blvd
West Mifflin, PA 15122",88089442,Comida,hamilton@hotmail.com
146,"Bellisario Pizza Shop","1842 Homeville Rd
West Mifflin, PA 15122",94110070,Comida,jimxugle@live.com
147,"Hunan Wok Chinese Restaurant","1822 Homeville Rd
West Mifflin, PA 15122",98242988,Comida,moonlapse@outlook.com
148,"Minerva Bakery","927 5th Ave
McKeesport, PA 15132",93453406,Comida,delpino@optonline.net
149,"Pierogies Plus","342 Island Ave
Mc Kees Rocks, PA 15136",88742758,"Entretención",ullman@optonline.net
150,"Marge's Place","719 Broadway Ave
McKees Rocks, PA 15136",90471168,Hospedaje,wkrebs@att.net
151,"Applebee's","6570 Rt 60 Steubenville Pike
McKees Rocks, PA 15136",88212736,Comida,nullchar@verizon.net
152,"R & B's Pizza Place","421 Lincoln Ave
Bellevue
Bellvue, PA 15202",94208708,Comida,monkeydo@optonline.net
153,"Luigi's Pizzeria","531 Lincoln Ave
Bellevue
Bellevue, PA 15202",83859408,Comida,mcrawfor@sbcglobal.net
154,"Donald's","4557 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202",92942537,Transporte,gslondon@att.net
155,"China Sea Chinese Restaurant","610 Lincoln Ave
Bellevue
Bellevue, PA 15202",86681601,Comida,matloff@verizon.net
156,"Avalon Motel","512 Ohio River Blvd
Avalon
Pittsburgh, PA 15202",84382451,Hospedaje,geekgrl@hotmail.com
157,"Star Nails","616 Lincoln Ave Ste 7
Bellevue
Bellevue, PA 15202",89033278,"Entretención",dobey@optonline.net
158,Vivo,"565 Lincoln Ave
Bellevue
Bellevue, PA 15202",89053880,Comida,crypt@comcast.net
159,"Remember When","3860 Chartiers Ave
Windgap
Pittsburgh, PA 15204",88787349,Hospedaje,msusa@live.com
160,"Pistella Beer Distributors","5514 Penn Ave
Friendship
Pittsburgh, PA 15206",82262170,Comida,staikos@msn.com
